CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Credit_Limit,Total_Revolving_Bal,Avg_Utilization_Ratio,City
768805383,Existing Customer,45,M,High School,Married,$60K - $80K,Blue,39,12691,777,0.061,New York
818770008,Existing Customer,49,F,Graduate,Single,Less than $40K,Blue,44,8256,864,0.105,New York
713982108,Existing Customer,51,M,Graduate,Married,$80K - $120K,Blue,36,3418,0,0,New York
769911858,Existing Customer,40,F,High School,Unknown,Less than $40K,Blue,34,3313,2517,0.76,New York
709106358,Existing Customer,40,M,Uneducated,Married,$60K - $80K,Blue,21,4716,0,0,New York
713061558,Existing Customer,44,M,Graduate,Married,$40K - $60K,Blue,36,4010,1247,0.311,New York
810347208,Existing Customer,51,M,Unknown,Married,$120K +,Gold,46,34516,2264,0.066,New York
818906208,Existing Customer,32,M,High School,Unknown,$60K - $80K,Silver,27,29081,1396,0.048,New York
710930508,Existing Customer,37,M,Uneducated,Single,$60K - $80K,Blue,36,22352,2517,0.113,New York
719661558,Existing Customer,48,M,Graduate,Single,$80K - $120K,Blue,36,11656,1677,0.144,New York
708790833,Existing Customer,42,M,Uneducated,Unknown,$120K +,Blue,31,6748,1467,0.217,New York
710821833,Existing Customer,65,M,Unknown,Married,$40K - $60K,Blue,54,9095,1587,0.174,New York
710599683,Existing Customer,56,M,College,Single,$80K - $120K,Blue,36,11751,0,0,New York
816082233,Existing Customer,35,M,Graduate,Unknown,$60K - $80K,Blue,30,8547,1666,0.195,New York
712396908,Existing Customer,57,F,Graduate,Married,Less than $40K,Blue,48,2436,680,0.279,New York
714885258,Existing Customer,44,M,Unknown,Unknown,$80K - $120K,Blue,37,4234,972,0.23,New York
709967358,Existing Customer,48,M,Post-Graduate,Single,$80K - $120K,Blue,36,30367,2362,0.078,New York
753327333,Existing Customer,41,M,Unknown,Married,$80K - $120K,Blue,34,13535,1291,0.095,New York
806160108,Existing Customer,61,M,High School,Married,$40K - $60K,Blue,56,3193,2517,0.788,New York
709327383,Existing Customer,45,F,Graduate,Married,Unknown,Blue,37,14470,1157,0.08,New York
806165208,Existing Customer,47,M,Doctorate,Divorced,$60K - $80K,Blue,42,20979,1800,0.086,New York
708508758,Attrited Customer,62,F,Graduate,Married,Less than $40K,Blue,49,1438.3,0,0,New York
784725333,Existing Customer,41,M,High School,Married,$40K - $60K,Blue,33,4470,680,0.152,New York
811604133,Existing Customer,47,F,Unknown,Single,Less than $40K,Blue,36,2492,1560,0.626,New York
789124683,Existing Customer,54,M,Unknown,Married,$80K - $120K,Blue,42,12217,0,0,New York
